site,description
https://www.cdu.de/,"CDU"
http://www.csu.de/,"CSU"
https://www.spd.de/,"SPD"
https://www.gruene.de/,"Grüne"
https://www.fdp.de/,"FDP"
https://www.die-linke.de,"Linke"
https://www.afd.de/,"AfD"
https://www.piratenpartei.de/,"Piratenpartei"
https://npd.de,"NPD"
http://www.freiewaehler.eu/,"FREIE WÄHLER"
https://lkr.de/,"LIBERAL-KONSERVATIVE REFORMER"
http://www.bvb-fw.de/,"Brandenburger Vereinigte Bürgerbewegungen/Freie Wähler"
http://www.ssw.de/de/die-partei.html,"SSW"
http://www.familienpartei.net/,"Familienpartei"
http://www.buerger-in-wut.de/,"Bürger in Wut"
https://www.oedp.de/startseite/,"Ökologisch-Demokratische Partei"
https://www.die-partei.de/,"Die Partei"
https://www.tierschutzpartei.de/,"Tierschutzpartei"
